key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
8,158,1,"le Bivouac de Brayflox",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,32,34,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,8,7,"ui/icon/112000/112007.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
9,163,1,"le Temple enseveli de Qarn",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,35,37,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,9,8,"ui/icon/112000/112009.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
10,159,1,"le Palais du Vagabond",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,45,110,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,10,13,"ui/icon/112000/112010.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
11,168,1,"le Vigile de Pierre",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,41,43,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,11,10,"ui/icon/112000/112012.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
12,170,1,"le Gouffre hurlant",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,38,40,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,12,9,"ui/icon/112000/112011.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
13,171,1,"la Forteresse de Dzemael",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,44,46,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,13,11,"ui/icon/112000/112013.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
14,167,1,"le Château d'Amdapor",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,45,110,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,14,16,"ui/icon/112000/112015.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
15,217,1,"Castrum Meridianum",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,42,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,15,14,"ui/icon/112000/112016.tex",0,-1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
16,224,1,"le Praetorium",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,42,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,16,15,"ui/icon/112000/112017.tex",0,-1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
17,160,1,"le Phare de Sirius",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,48,110,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,17,17,"ui/icon/112000/112027.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
18,349,1,"les Mines de Clochecuivre (brutal)",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,48,110,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,18,18,"ui/icon/112000/112025.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
19,350,1,"le Manoir des Haukke (brutal)",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,48,110,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,19,19,"ui/icon/112000/112026.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
20,362,1,"le Bivouac de Brayflox (brutal)",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,55,110,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,20,22,"ui/icon/112000/112048.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
21,360,1,"Halatali (brutal)",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,55,110,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,21,21,"ui/icon/112000/112049.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
22,363,1,"les Vestiges de la cité d'Amdapor",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,55,110,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,22,20,"ui/icon/112000/112042.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
23,361,1,"l'Île de Crèvecarène",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,70,110,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,23,23,"ui/icon/112000/112058.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
24,373,1,"l'Hypogée de Tam-Tara (brutal)",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,70,110,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,24,24,"ui/icon/112000/112059.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
25,365,1,"le Vigile de Pierre (brutal)",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,70,110,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,25,25,"ui/icon/112000/112060.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
26,367,1,"le Temple enseveli de Qarn (brutal)",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,80,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,26,28,"ui/icon/112000/112068.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
27,371,1,"Manteneige",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,80,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,27,26,"ui/icon/112000/112066.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
28,387,1,"Sastasha (brutal)",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,80,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,28,27,"ui/icon/112000/112067.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
29,189,1,"le Château d'Amdapor (brutal)",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,90,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,29,31,"ui/icon/112000/112077.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
30,188,1,"le Palais du Vagabond (brutal)",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,90,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,30,30,"ui/icon/112000/112078.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
31,416,1,"la Grande bibliothèque de Gubal",False,1,0,108,"ContentMemberType#2",0,0,0,0,0,59,60,0,150,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,7,31,44,"ui/icon/112000/112091.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
32,150,1,"le Gardien du lac",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,90,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,6,32,29,"ui/icon/112000/112076.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
33,420,1,"Nalloncques",False,1,0,108,"ContentMemberType#2",0,0,0,0,0,60,60,145,210,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,7,33,46,"ui/icon/112000/112093.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
34,421,1,"La Voûte",False,1,0,108,"ContentMemberType#2",0,0,0,0,0,57,58,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,7,34,43,"ui/icon/112000/112090.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
35,430,1,"Le Continuum fractal",False,1,0,108,"ContentMemberType#2",0,0,0,0,0,60,60,145,210,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,7,35,47,"ui/icon/112000/112094.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
36,434,1,"le Vigile du Crépuscule",False,1,0,108,"ContentMemberType#2",0,0,0,0,0,51,52,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,7,36,40,"ui/icon/112000/112087.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
37,441,1,"Sohm Al",False,1,0,108,"ContentMemberType#2",0,0,0,0,0,53,54,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,7,37,41,"ui/icon/112000/112088.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
38,438,1,"le Laboratoire de magismologie",False,1,0,108,"ContentMemberType#2",0,0,0,0,0,60,60,142,180,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,7,38,45,"ui/icon/112000/112092.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
39,435,1,"L'Aire",False,1,0,108,"ContentMemberType#2",0,0,0,0,0,55,56,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,7,39,42,"ui/icon/112000/112089.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
40,510,1,"le Phare de Sirius (brutal)",False,1,0,108,"ContentMemberType#2",0,0,0,0,0,60,60,170,240,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,7,40,49,"ui/icon/112000/112117.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
41,511,1,"l'Arboretum Sainte-Mocianne",False,1,0,108,"ContentMemberType#2",0,0,0,0,0,60,60,170,240,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",2,7,41,48,"ui/icon/112000/112116.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
42,214,1,"Entraînement<Indent/>: groupes d'ennemis",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,10,11,0,0,False,True,True,False,False,False,0,True,False,True,False,False,False,True,"",3,0,1001,1,"ui/icon/111000/111006.tex",0,-1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
43,190,1,"Chasse au fantôme fantoche",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,10,11,0,0,False,True,True,False,False,False,0,True,False,True,False,False,False,True,"",3,0,1002,2,"ui/icon/111000/111001.tex",0,-1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
44,215,1,"Entraînement<Indent/>: in<SoftHyphen/>fil<SoftHyphen/>tra<SoftHyphen/>tion en base ennemie",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,15,16,0,0,False,True,True,False,False,False,0,True,False,True,False,False,False,True,"",3,0,1003,3,"ui/icon/111000/111007.tex",0,-1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
45,216,1,"Reconquête d'une carapace escamotée",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,15,16,0,0,False,True,True,False,False,False,0,True,False,True,False,False,False,True,"",3,0,1004,4,"ui/icon/111000/111008.tex",0,-1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
46,191,1,"Opération fleurs du mal",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,20,21,0,0,False,True,True,False,False,False,0,True,False,True,False,False,False,True,"",3,0,1005,5,"ui/icon/111000/111002.tex",0,-1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
47,192,1,"Expédition punitive contre les Ventrerouge",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,20,21,0,0,False,True,True,False,False,False,0,True,False,True,False,False,False,True,"",3,0,1006,6,"ui/icon/111000/111003.tex",0,-1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
48,220,1,"Briaxio à bras raccourcis",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,25,26,0,0,False,True,True,False,False,False,0,True,False,True,False,False,False,True,"",3,0,1007,7,"ui/icon/111000/111005.tex",0,-1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
49,219,1,"Les Gobelins bombardiers",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,25,26,0,0,False,True,True,False,False,False,0,True,False,True,False,False,False,True,"",3,0,1008,8,"ui/icon/111000/111004.tex",0,-1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
50,221,1,"Sus au morbol pollueur",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,30,31,0,0,False,True,True,False,False,False,0,True,False,True,False,False,False,True,"",3,0,1009,9,"ui/icon/111000/111009.tex",0,-1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
51,222,1,"Buso l'immolateur",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,30,31,0,0,False,True,True,False,False,False,0,True,False,True,False,False,False,True,"",3,0,1010,10,"ui/icon/111000/111010.tex",0,-1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
52,223,1,"Ombres et griffes",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,35,36,0,0,False,True,True,False,False,False,0,True,False,True,False,False,False,True,"",3,0,1011,11,"ui/icon/111000/111011.tex",0,-1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
53,298,1,"Longue vie à la Reine",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,35,36,0,0,False,True,True,False,False,False,0,True,False,True,False,False,False,True,"",3,0,1012,12,"ui/icon/111000/111012.tex",0,-1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
54,299,1,"Quintettes infernaux",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,40,41,0,0,False,True,True,False,False,False,0,True,False,True,False,False,False,True,"",3,0,1013,13,"ui/icon/111000/111013.tex",0,-1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
55,300,1,"Trinité sinistre",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,40,41,0,0,False,True,True,False,False,False,0,True,False,True,False,False,False,True,"",3,0,1014,14,"ui/icon/111000/111014.tex",0,-1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
56,202,1,"le Cratère des tisons",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,20,22,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,8,2001,1,"ui/icon/112000/112008.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
57,206,1,"le Nombril",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,34,36,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,8,2002,2,"ui/icon/112000/112018.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
58,208,1,"Hurlœil",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,44,46,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,8,2003,3,"ui/icon/112000/112019.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
59,292,1,"le Cratère des tisons (brutal)",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,49,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,8,2004,12,"ui/icon/112000/112021.tex",0,-1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
60,293,1,"le Nombril (brutal)",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,57,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,8,2005,14,"ui/icon/112000/112022.tex",0,-1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
61,294,1,"Hurlœil (brutal)",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,52,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,8,2006,13,"ui/icon/112000/112023.tex",0,-1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
62,332,1,"le Cap Vendouest",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,49,50,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,8,2007,4,"ui/icon/112000/112020.tex",0,-1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
63,295,1,"le Cratère des tisons (extrême)",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,70,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,19,2008,103,"ui/icon/112000/112028.tex",0,-1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
64,296,1,"le Nombril (extrême)",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,67,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,19,2009,102,"ui/icon/112000/112029.tex",0,-1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
65,297,1,"Hurlœil (extrême)",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,65,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,19,2010,101,"ui/icon/112000/112030.tex",0,-1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
66,207,1,"la Lisière de ronces (brutal)",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,54,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,8,2011,15,"ui/icon/112000/112031.tex",0,-1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
67,364,1,"la Lisière de ronces (extrême)",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,80,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,19,2012,104,"ui/icon/112000/112050.tex",0,-1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
68,348,1,"le fléau d'Ultima",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,61,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,19,2013,100,"ui/icon/112000/112032.tex",0,-1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
69,509,1,"Défi spécial III",False,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,0,0,True,True,False,False,False,False,0,True,False,True,False,False,False,True,"",4,8,0,9999,"ui/icon/112000/112018.tex",0,-1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,353,1,"Défi spécial I",False,1,0,108,"ContentMemberType#4",0,0,0,0,0,60,60,0,0,True,False,False,False,False,False,0,True,False,True,False,False,False,True,"",4,8,0,9997,"ui/icon/112000/112225.tex",0,-1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,354,1,"Défi spécial II",False,1,0,108,"ContentMemberType#3",0,0,0,0,0,60,60,0,0,True,True,False,False,False,False,0,True,False,True,False,False,False,True,"",4,8,0,9998,"ui/icon/112000/112126.tex",0,-1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,281,1,"le Briseur de marées (brutal)",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,60,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,8,2014,16,"ui/icon/112000/112051.tex",0,-1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
73,359,1,"le Briseur de marées (extrême)",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,80,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,19,2015,105,"ui/icon/112000/112052.tex",0,-1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
74,368,1,"la chimère dhorme du Coerthas",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,52,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,8,2016,7,"ui/icon/112000/112053.tex",0,-1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
75,369,1,"l'hydre d'Halatali",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,52,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,8,2017,8,"ui/icon/112000/112055.tex",0,-1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
76,366,1,"Affrontement sur le grand pont",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,50,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,8,2018,9,"ui/icon/112000/112054.tex",0,-1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
77,374,1,"l'Arbre du jugement (brutal)",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,65,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,8,2019,17,"ui/icon/112000/112062.tex",0,-1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
78,375,1,"l'Arbre du jugement (extrême)",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,85,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,19,2020,106,"ui/icon/112000/112063.tex",0,-1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
79,377,1,"l'Amphithéâtre d'Akh Afah (brutal)",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,80,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,8,2021,18,"ui/icon/112000/112073.tex",0,-1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
80,378,1,"l'Amphithéâtre d'Akh Afah (extrême)",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,95,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,19,2022,107,"ui/icon/112000/112074.tex",0,-1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
81,142,1,"le Col du dragon",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,80,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,8,2023,10,"ui/icon/112000/112075.tex",0,-1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
82,394,1,"la Fontaine d'Urth",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,95,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,8,2024,19,"ui/icon/112000/112065.tex",0,-1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
83,143,1,"le Siège de la sainte Cité d'Ishgard",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,90,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,8,2025,6,"ui/icon/112000/112082.tex",0,-1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
84,426,1,"La Chrysalide",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,90,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,8,2026,5,"ui/icon/112000/112081.tex",0,-1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
85,396,1,"Revanche au vieux château",False,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,90,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,8,2027,11,"ui/icon/112000/112080.tex",0,-1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
86,432,1,"Thok ast Thok (brutal)",False,1,0,108,"ContentMemberType#3",0,0,0,0,0,53,54,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,9,2028,110,"ui/icon/112000/112103.tex",0,-1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
87,446,1,"Thok ast Thok (extrême)",False,1,0,108,"ContentMemberType#3",0,0,0,0,0,60,60,175,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,20,2029,121,"ui/icon/112000/112107.tex",0,-1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
88,436,1,"L'Immensité bleue (brutal)",False,1,0,108,"ContentMemberType#3",0,0,0,0,0,57,58,0,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,9,2030,111,"ui/icon/112000/112104.tex",0,-1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
89,447,1,"L'Immensité bleue (extrême)",False,1,0,108,"ContentMemberType#3",0,0,0,0,0,60,60,165,0,True,True,True,False,False,True,0,True,False,True,False,False,False,True,"",4,20,2031,120,"ui/icon/112000/112105.tex",0,-1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
